1667338047.896849 client started (17067): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1667338047.896957 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:14:30 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T8103
1667338047.897390 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1667338047.897476 flags are 0x10010000
1667338047.897501 socket is /private/tmp/tmux-501/default
1667338047.897533 trying connect
1667338047.897649 add peer 0x138008000: 6 (0x0)
1667338047.901783 sending message 100 to peer 0x138008000 (4 bytes)
1667338047.901833 sending message 111 to peer 0x138008000 (8 bytes)
1667338047.901846 sending message 101 to peer 0x138008000 (16 bytes)
1667338047.901858 sending message 109 to peer 0x138008000 (4 bytes)
1667338047.901870 sending message 102 to peer 0x138008000 (13 bytes)
1667338047.901881 sending message 108 to peer 0x138008000 (36 bytes)
1667338047.901893 sending message 112 to peer 0x138008000 (70 bytes)
1667338047.901904 sending message 112 to peer 0x138008000 (5 bytes)
1667338047.901916 sending message 112 to peer 0x138008000 (5 bytes)
1667338047.901928 sending message 112 to peer 0x138008000 (6 bytes)
1667338047.901939 sending message 112 to peer 0x138008000 (6 bytes)
1667338047.901950 sending message 112 to peer 0x138008000 (11 bytes)
1667338047.901962 sending message 112 to peer 0x138008000 (10 bytes)
1667338047.901973 sending message 112 to peer 0x138008000 (13 bytes)
1667338047.901984 sending message 112 to peer 0x138008000 (13 bytes)
1667338047.901995 sending message 112 to peer 0x138008000 (18 bytes)
1667338047.902007 sending message 112 to peer 0x138008000 (11 bytes)
1667338047.902018 sending message 112 to peer 0x138008000 (21 bytes)
1667338047.902029 sending message 112 to peer 0x138008000 (13 bytes)
1667338047.902041 sending message 112 to peer 0x138008000 (7 bytes)
1667338047.902052 sending message 112 to peer 0x138008000 (13 bytes)
1667338047.902063 sending message 112 to peer 0x138008000 (7 bytes)
1667338047.902074 sending message 112 to peer 0x138008000 (13 bytes)
1667338047.902085 sending message 112 to peer 0x138008000 (9 bytes)
1667338047.902097 sending message 112 to peer 0x138008000 (21 bytes)
1667338047.902108 sending message 112 to peer 0x138008000 (13 bytes)
1667338047.902119 sending message 112 to peer 0x138008000 (8 bytes)
1667338047.902131 sending message 112 to peer 0x138008000 (12 bytes)
